N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
					m04_s06_082_x	Virgen del Carmen con Niño Jesús	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Escultura: Madera Maguey. Vestimenta: Tela encolada y policromada, con bordados de oro y plata.		"Aca apreciamos un rico altar al estilo rococó cubierto hasta por tres veces con laminas de oro, la Escultura de la Virgen del Carmen, conocida como La Fundadora, por ser la imagen que trajeron las monjas fundadoras desde el Cusco; con un traje muy bellamente bordado, lleva en la mano derecha el escapulario de la orden, en la mano izquierda vemos al Niño Jesús sentado en su brazo, tambien con un escapulario en su manito derecha, vestido de blanco y coronado. La Virgen tiene cabello humano y sobre la cabeza un manto y sobre ella la corona.                                                       OTRA DESCRIPCION : Liderando las Órdenes conventuales femeninas de clausura, tenemos a la Carmelita, de hábito café con capa y capucha blanca, con Santa Teresa de Ávila como su reformadora, y la Virgen del Carmen como su patrona.  En la rama masculina se representa a Eneas, San Juan de la Cruz y San Simón Stock.

La Virgen del Carmen está vinculada directamente con la devoción a las almas del purgatorio; en santorales y documentos del siglo XIII[24], ya se menciona la aparición en 1251 de la  Madre de Cristo a San Simón Stock, General carmelita,

Esta visión se consolidó con el denominado “privilegio sabatino” que en “Carta Magna del Escapulario del Carmen” el papa Pío XII en 1950, ratifica[25], resumiendo su devoción en: “que la Santísima Virgen sacará del purgatorio cuanto antes, especialmente el sábado después de su muerte, a quienes hayan muerto con él (escapulario[26]) y durante su vida hayan guardado castidad según su estado y rezado todos los días el oficio parvo. (…)”[27]

"	1710	Anterior a esta fecha																						m04_s01_082_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso	
					m04_s06_083_x	Convite de Santa Teresa a San Pedro de Alcántara	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Al fondo de la Sala hay dos interesantes cuadros de marco tallado y calado, uno de ellos, el del Almuerzo de Santa Teresa y San Pedro de Alcántara, relata ingeniosa e ingenuamente tres escenas en una sola.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_083_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s06_084_x	Prefiguración de la pasión con santos y santas                   Jesús Niño duerme sobre la cruz entre emblemas de la muerte o atributos de la futura pasión. La prefiguración de la Muerte y la Pasión, tema de gran acogida en la estética barroca, fue representada en diversas ocasiones por Bartolomé Esteban Murillo. Una de esas versiones, de autoría indiscutible, ha sido  subastada recientemente por la casa Sotheby´s, en un ambiente de general valoración del pintor sevillano en el año de la celebración de su centenario: partía en un precio de salida de 200.000 libras y acabó siendo adjudicada en 500.000 libras. Si el Barroco subrayó la humanidad de Cristo, además de reflejar la agonía que sufrió para la salvación de los hombres también puso el acento sobre la ternura que inspiran su nacimiento y su vida oculta en la Sagrada Familia de Nazaret. Los misterios de la Pasión y los de la Infancia convergen en algún modo, pero no sólo en celdas conventuales o en capillas para la devoción particular, sino que nos encontramos la imagen del Niño Jesús en cortejos penitenciales de la Semana Santa.	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.		Esta obra muy importante para la iglesia católica ya que es una premonición de Jesús Niño, quien duerme sobre la cruz, entre emblemas de la muerte o atributos de la futura pasión. La prefiguración de la muerte y la pasión un tema de gran acogida por la escuela Barroca, quien muestra de forma muy dura a la humanidad de Cristo la agonía que sufrió para la salvación  de los hombres también puso el acento sobre la ternura que inspiran su nacimiento y su vida oculta en la Sagrada Familia de Nazaret. Los misterios de la Pasión y los de la Infancia convergen de algún modo, pero no sólo en celdas conventuales o en capillas para la devoción particular, sino que nos encontramos la imagen del Niño Jesús en cortejos penitenciales de la Semana Santa.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_084_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s06_085_x	Sagrada familia con San Juan Niño	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.	md_10	REVISAR : La escena reúne a la Virgen María, quien sostiene al niño Jesús con su mano derecha, a San José quien reposa a su lado con la mirada a dos ángeles que vuelan por el cielo mirando al niño y llevando rosas rosadas, y a otro niño que se encuentra a los pies de la Virgen sosteniendo un crucifijo que lleva una cinta con un mensaje, el niño está extendiendo su mano izquierda hacia el Niño Jesús quien aparentemente le está alcanzando unas flores que seguramente les fueron enviadas por los ángeles. Completa la obra un paisaje que sirve de fondo, con árboles y rosas rosadas y la flores de lis o lirio blanco, que simbolizan la virginidad, inocencia y pureza. También representa a la luz, elemento imprescindible en la religión cristiana	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_085_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s06_086_x	Prefiguración de la pasión	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.		Esta es otro lienzo que nos muesta a Jesús niño dormido sobre la cruz pero en esta ocasión ademas tiene un paño azul sobre la cruz y esta rodeado tan solo de algles, que parecieran que cuidan su sueño	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_086_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s06_087_x	Divina Pastora	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: Maguey. Vestimenta: Tela encolada y policromada. Ovejas de pasta vaciada. Silla de madera tallada y dorada		El comienzo de la veneración por la Divina Pastora se remonta al año de 1736, fecha en que el párroco de Santa Rosa encargó a un famoso escultor que le hiciera una estatua de la Inmaculada Concepción. No obstante, por una extraña equivocación, en lugar de la Inmaculada, llegó al pueblo la imagen de la Divina Pastora. De inmediato el párroco quiso devolverla, pero por mucho que lo intentaron, no pudieron levantar el cajón donde habían colocado la imagen. A partir de este momento la población interpretó este raro acontecimiento como señal de que la Divina Pastora quería quedarse entre ellos. Posteriormente, durante los sucesos del terremoto de 1812, el templo donde se veneraba la Divina Pastora fue destruido, pero su imagen quedó milagrosamente intacta, hecho que reforzó la creencia de los fieles de Santa Rosa de que la Virgen quería quedarse siempre entre ellos para protegerlos	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_087_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso	
					m04_s06_088_x	Arcángel Gabriel	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		En esta obra  observamos a uno de los Angles más importante de la iglesia católica, es el Angel que hace de mensajero o enviado por Dios a diferentes personas. Una obra muy bella por sus trazos y su gran técnica en las transparencias de sus velos, vemos al Angel señalando al espiritu Santo con su mano drecha y en la otra conuna flor de liz, signo de pureza.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_088_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s06_089_x	Virgen de Pasau	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.		"Esta obra con un bello marco tallado en madera y revestido en pan de oro nos muestra a la advocación mariana conocida como Nuestra Señora Passaviense, forma latina para referirse a ""de Passau"", ciudad alemana sobre el Danubio, en los limites con Austria, donde se originó el culto a la imagen y su dufusión.  En este lienzo de la escuela cusqueña vemos a la Virgen bellamente vestida con una túnica con la ténica del brocateado con el Niño Jesús en brazos muy cerca de su rostro, los dos con unas hermosas coronas doradas y decoradas con pierdras preciosas."	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_089_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s06_090_x	Adoración de los Reyes Magos	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"Tras ver la estrella de oriente los Reyes Magos, que según la tradición cristiana concreta su número en tres ( Baltazar no fue negro sino hasta el siglo XIV) se van a Belén y ofrecen sus tres regalos al Niño Jesús: oro como Rey, incienso como Dios y mirra como hombre. Podemos observar a la Virgen a San José, al niño recibiendo los regalos  y a un soldado y dos hombres mas, que llenan casi todo el lienzo a excepción de un pequeño paisaje crepuscular al fondo.                             REVISAR : Esta obra se concentra en la reacción de los magos ante el recién nacido, más que en la descripción clásica y bíblica del relato. Muestran alegría y devoción reforzando la solemnidad del momento en que La Virgen María les presenta con sencillez al niño. El momento en que los Reyes Magos visitan al mesías, ha sido ampliamente tratado por diversos artistas del Renacimiento y el Barroco, una de las versiones más conocidas es la ""Adoración de los magos"" de Velázquez.
Aunque el pasaje bíblico es breve, la tradición oral cristiana ha adornado con toda clase de detalles el acontecimiento, muchos de estos sí están reflejados en la obra. Arriba a la izquierda se aprecia la estrella de Belén, los atuendos de los magos refuerzan el carácter universal de la religión: cada uno muestra una edad del hombre: juventud, madurez y vejez; y una procedencia geográfica diferente (de los 3 continentes conocidos hasta ese momento): Asia, África y Europa.

"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_090_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s06_091_x	Niño Jesús Doctorcito	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura : Madera tallada y policromada. Vestimenta: Tela bordada con hilos de bronce y plata dorada.			Siglo XVII 	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_091_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s06_092_x	La Anunciación	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Regular estado de conservación	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada. Escuela Cusqueña		Una obra de la escuela cusqueña. La Anunciación se conoce como el episodio de la Virgen María en que el angel Gabriel le anuncia que va a ser la Madre de Jesús, este episodio aparece narrado en el evangelio de Lucas. Es entonces que el Angel se le presenta y le anuncia su maternidad.           La iconografía tradicional ha representado la Anunciación como una escena doméstica, ambientada en el interior de una habitación o en un patio, con la Virgen sentada o arrodillada y el arcángel llegando por la izquierda.  En esta obra vemos a María de pie y al angel Gabriel frente a ella en lo que parece una abitación con una gran ventana abierta, donde pararecen unos angeles en el cielo, la Virgen con la mano derecha en el pecho. Ambos trajes con la técnica del brocateado.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_092_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s06_093_x	Prédica de San Juan	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.		En esta obra vemos a San Juan parado debajo de un arbol, con una figura muy estilizada, y alargada  predicando a algunas personas con un paisaje por detras.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_093_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s06_094_x	Entrada de Jesús en Jerusalén	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Oleo sobre lienzo		En esta obra apreciamos a Jesús a lomo de un asna entrando al pueblo de Jerusalem, seguido por sus discipulos y recibido por la gente y multitud, algunos preguntaban quien es este?? y  otros respondían este es Jesús el Profeta el hijo de Dios.  Detrás podemos observar un paisaje,  no de la zona sino más bien uno del mediooriente.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_094_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s06_095_x	Las lágrimas de San Pedro	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo. Marco: Madera tallada y dorada.		"Esta pintura representa la negación de Pedro. ""antes de que cante el gallo tres veces me habrás negado Pedro"" le dijo jesús. aca vemos a Jesús parado co una tunica cubriendo la parte media del cuerpo muy ensangrentado por los latigazos y caídas en su peregrinación al monte calvario y a pedro de rodillas y con lagrimas en los ojos, dandose cuenta de lo que habia sucedido, en la parte izquierda arriba del lienzo vemos al gallo."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_095_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s06_096_x	San Miguel Arcángel	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación 	Pintura : Oleo sobre lienzo con brocateado de oro. Marco: Madera tallada y dorada.		"San Miguel Arcangel uno de los siete arcángeles y esta entre los tres cuyos nombres aparecen en la biblia:  Miguel, Gabriel y Rafael La iglesia católica da el más alto lugar entre los arcángeles y le llama ""Principe de los espiritus celestiales"". Príncipe guerrero en la lucha contra el demonio, significa “Quién como Dios”En esta obra lo vemos con su espada en la mano derecha y el escudo en la izquierda, obra de la escuela cusqueña.                                                                                                   . Atributos: Viste con faldellín,"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_096_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
						SALA 7 : SALA DE LA PASIÓN DE CRISTO															El De Profundis, era un espacio cercano a la iglesia, en donde las religiosas rezaban una oración penitencial. Al medio de la Sala hay una pequeña puerta en la que se sitúa, desde la construcción del templo, uno de los confesionarios que hasta la fecha es usado por las monjas. Como parte del Museo, esta es la Sala de la Pasión de Cristo, por lo que se puede observar un completo Vía Crucis, compuesto de 14 pequeños lienzos con marcos tallados y dorados, de estilo rococó.																												
					m04_s07_097_x	Calvario, oración en el Huerto y Prendimiento de Cristo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada		REVISAR: Pintura de la Escuela Cusqueña, en la cual se destaca el claro oscuro en los colores. Representa el momento previo a la muerte de Cristo, que se manifiesta en el cuerpo contorsionado, el rostro tomando el último aliento y mirando hacia abajo. Los otros personajes que aparecen en la composición de derecha a izquierda son María Magdalena, arrodillada y abrazada a la cruz, San Juan evangelista, María la madre de Cristo, que dirige su mirada a su hijo crucificado.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_097_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_098_x	Encuentro de Cristo con la Verónica	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada		"REVISAR : Saint Veronica (whose name, 'vera icon', means true image) came to Christ while he was carrying his cross on the way to Calvary, and wiped the sweat from his face; the cloth she used became miraculously imprinted with an image of his features. The cloth, also called the veil or Sudarium, is preserved as a relic at St Peter's in Rome.                            OPCION 2: Obra de formato rectangular en orientación vertical. Pintura figurativa, policromática, que representa una escena religiosa. Se observa un tumulto de gente entorno a un hombre, quien agachado carga una cruz de grandes proporciones en su espalda. Algunos hombres le ayudan a sostener el peso, mientras una mujer seca el sudor de su frente. Se observan, en segundo plano, soldados a caballos en una escena de mucho movimiento.                               ICONOGRAFÍA : La obra representa uno de los momentos del Viacrucis, que comprende quince estaciones consideradas como momentos que vivió Jesucristo hasta su crucifixión y sepultura. ""La crucifixión de Cristo tuvo lugar en Gólgota (el lugar de la calavera) y fue presenciada por una multitud, entre las que se encontraban su madre y María Magdalena"" (Carr-Gomm, Sarah, Historia del arte: el lenguaje secreto de los símbolos y las figuras de la pintura universal, página 106).



"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_098_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_099_x	Crucifixión	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_099_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_100_x	Calvario	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada		"REVISARA : This painting was probably once the centre panel of a triptych (a painting made up of three sections) showing episodes from the Passion (Christ’s torture and execution). The dead Christ hangs from the Cross, and three angels collect the blood from his wounds in chalices.
 On the left are the Virgin Mary and Saint John, while Mary Magdalene kneels at the foot of the Cross. The man in the lower right corner pointing towards Christ is apparently the Roman centurion who exclaimed, ‘Truly this was the Son of God’ (Matthew 27: 54)."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_100_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_101_x	La Virgen, San Juan y María Magdalena, reciben el cuerpo de Jesús	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada		REVISAR: The dead Christ is being removed from the Cross. One man removes the nails from Christ’s feet; blood from his wounds has pooled on the ground below. He may be Nicodemus, who is mentioned in John’s Gospel as having come to the Cross with spices to anoint Christ’s body. The man on the ladder is probably Joseph of Arimathea, who removed Christ from the Cross, according to Luke’s Gospel. Christ’s limp body is caught by his mother, the Virgin Mary, who embraces him, placing her face against his. Mary Magdalene caresses Christ’s hand, pressing it against her cheek. Saint John the Evangelist is equally mournful, clutching the body closely.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_101_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_102_x	La oración en el huerto	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_102_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_103_x	Calvario	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Madera tallada polícroma. Técnica: corlado		"REVISAR: La Virgen María, San Juan y María Magdalena sobresalen también por su dramatismo, movimiento y preciosismo en la talla, que permite ver las orejas entre los bucles del cabello, la expresión de angustia en los rostros, en la pose de las figuras y en los dedos de las manos de cada uno.

En la decoración de los tres personajes se observa la riqueza del chinesco, con el brillo del pan de plata y la gracia de los modelos quiteños en el  estofado con pan de oro de la vestimenta, además del delicado trabajo a punta de pincel con policromía en la chalina de la Virgen María.

Simbólicamente la presencia del crucificado (triunfo de la vida gracias a la resurrección), sobre los restos de Adán (cráneo y tibias, quien representa la muerte eterna), se inspira en la leyenda dorada, donde se relata  que del árbol nacido sobre los restos de primer pecador, se cortó la madera para la Cruz de Cristo.

Pintura de la Escuela Cusqueña, en la cual se destaca el claro oscuro en los colores. Representa el momento previo a la muerte de Cristo, que se manifiesta en el cuerpo contorsionado, el rostro tomando el último aliento y mirando hacia abajo. Los otros personajes que aparecen en la composición de derecha a izquierda son María Magdalena, arrodillada y abrazada a la cruz, San Juan evangelista, María la madre de Cristo, que dirige su mirada a su hijo crucificado."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_103_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s07_104_x	La Piedad	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: madera tallada y policromada. Corona y corazón: plata repujada. Vestimenta: bordados con hilos de plata.		La Piedad representa la devoción y lamentación de la Virgen María ante el cuerpo de su hijo Jesucristo, tras su muerte en la cruz. La escena no está mencionada ni enlos evangelios canónicos ni en los apócrifos. Quizá por ello se empezó a representar apenas desde el siglo XIV y estaba destinada a la devoción privada. Enta escultura de la escuela cusqueña de arte, se ve a una Virgen María muy grande en comparación de su hijo Jesús a quien sostiene en su regazo, ella lleva una corona de plata y el corazón atravesado por seis espadas que muestran su sufrimiento	Siglo XIX																							m04_s01_104_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s07_105_x	Cristo Flagelado	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: madera tallada y policromada Corona: Oro y perlas		Hay que detenerse en la única vitrina de esta Sala, y observar de frente la bellísima talla en madera de Cristo Después de la Flagelación, verdadera obra maestra del arte barroco, que a más de su perfecto tratamiento anatómico, nos muestra, en el rostro de Cristo, una mirada que transmite sensaciones de tristeza, paz, dolor, sosiego	Entre el Siglo XVI e inicios del XVII																							m04_s01_105_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s07_106_x	Prendimiento de Cristo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: madera tallada y policromada Corona: Oro y perlas		El tema central de esta obra es el prendimiento de Jesús de Nazaret por los soldados romanos, y guiados por Júdas Iscariote. Poco después se le llevará ante el Sanedrín, precidida por Caifás para luego condenarle. Esta obra de  la escuela cusqueña, cuya principal característica son sus figuras alargadas y sus colores ocres.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_106_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s07_107_x	Alegoría de la Salvación	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_107_x	c_11/02_04_01	Pinturas de arte fino	Óleos de Imágenes alegóricas religiosas	
					m04_s07_108_x	Pilatos sentencia a Jesús	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_108_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_109_x	Jesús ante Pilatos	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_109_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_110_x	Jesús frente a Herodes	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_110_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_111_x	Flagelación de Cristo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_111_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s07_112_x	Coronación de espinas	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: Oleo sobre lienzo Marco: Madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_112_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
