N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	La Piedad				m02_s03_219_p	La Piedad	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	222	170	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	La Piedad del Vaticano o Piedad de Miguel Ángel es una escultura de bulto redondo. Representa el momento en que la Virgen María recibe el cuerpo de Jesús y lo sostiene en sus brazos, justo antes de la llamada lamentación sobre Cristo muerto o planctus.	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_219_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	San Francisco recibiendo los estigmas				m02_s03_220_x	San Francisco recibiendo los estigmas	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	168	117	No registra	No registra	No registra	Regular estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	"La pintura muestra a San Francisco de rodillas,  con dos ángeles que lo sostienen y el mostrando sus estigmas, los que recibe de un crucifijo que aparece en medio de un cielo. Frente a él se encuentra un texto y una calavera que representa a la ""hermana muerte"", pues es una alegoría de la mortificación. El cuadro ha sido producido con el estilo barroco dominando el claro oscuro. San Francisco de Asís recibiendo los estigmas es el nombre que se le da a dos pinturas sin firmar completadas alrededor de 1428-1432 que los historiadores del arte suelen atribuir al artista flamenco Jan van Eyck."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_220_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	San Francisco Solano evangelizador				m02_s03_221_x	San Francisco Solano evangelizador	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	168	105	No registra	No registra	No registra	Regular estado de conservación	Oleo sobre lienzo	No aplica	San Francisco Solano, llamado el taumaturgo del nuevo mundo por la cantidad de prodigios y milagros que obtuvo en sud América, gran apóstol de América del Sur,  especialmente de Perú, su cuerpo esta enterrado en Lima, San Francisco Solano nos trae el ejemplo de tantos misioneros franciscanos y de otras congregaciones, que entregaron su vida por entero a la evangelización del Nuevo Mundo. La pintura desarrollada con estilo barroco, donde predomina el claro oscuro, muestra a San Francisco Solano en medio de un paisaje rodeado de árboles con un grupo de nativos que se encuentran arrodillados ante él, el Santo aparece con las manos cruzadas en el pecho portando una cruz, la imagen representa la estrecha relación que mantuvo con la clase indígena de los pueblos, con quienes compartió el evangelio de Cristo.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_221_x	c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	Don Fulgencio Maldonado postrado ante santos				m02_s03_222_x	Frey Fulgencio Maldonado postrado ante santos	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	244	170	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	El personaje de esta obra, es uno de los más notables en lo que concierne al desarrollo del ambiente social, cultural y religioso de la ciudad de Arequipa en el Perú. En la opinión del autor, el carácter sobresaliente del Doctor don Frey Fulgencio Maldonado no se limita a lo circunscrito por los siguientes títulos que poseía: Chantre de la Catedral de Arequipa, Capellán de Obediencia de la Orden de San Juan de Jerusalén, Capellán de su Majestad el Rey Señor Don Felipe Cuarto, Protonotario Apostólico, Cofundador y Síndico del Convento de La Recoleta en Arequipa, sin embargo, casi totalmente olvidado en el panorama histórico. La Pintura muestra a Frey Fulgencio de rodillas, ante la imagen de San Francisco y Santa Clara. San Francisco lleva al Niño Jesús en sus brazos y Santa Clara, detrás Frey Fulgencio se encuentra un ángel parado que sostiene su hombro con la mano derecha en la otra mano un corazón que representaría al corazón de Jesús. Sobre el ángel en el cielo se encuentra la imagen de la Virgen María contemplando con agrado la escena  y a la derecha de la Virgen dos ángeles.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_222_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Bautizo de San Francisco				m02_s03_223_x	Bautizo de San Francisco	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	104	135	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	Pintura de estilo barroco en la que destaca el claro oscuro. Misma que representa la escena del bautismo de San Francisco de Asís, justo en el momento en el que un ángel está sacando al niño de la pila Bautismal. Delante de la pila se encuentra la madre del San Francisco de Asís, a su izquierda un Angel.                                                                                                                    Según la historia de la iconografía Dios dispuso a muchos ángeles para que lo guardasen y defendiesen. En la escena se ven representados por cuatro ángeles dentro de los cuales destaca la figura del Arcángel San Miguel y del Ángel de la Guarda. Un sacerdote esta acompañado de dos monaguillos, sobre la cabeza del sacerdote vuela una paloma como signo del Espíritu Santo.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_223_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
	Inmaculada Concepción y santos franciscanos				m02_s03_224_x	Inmaculada Concepción y santos franciscanos	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	168	117	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	"Se muestra la imagen de la Virgen María ataviada con un vestido rosa, un manto azul decorado con estrellas ; con la luna bajo sus pies y una corona de doce estrellas, con la mirada hacia el espectador. A sus pies de rodillas, dos santos franciscanos, alrededor de la imagen se observan figuras como una custodia, una fuente, flores de color rosa y sobre la cabeza de la Virgen una paloma como símbolo del Espíritu Santo. El marco del cuadro ha sido elaborado con diseños de pan de oro; lleva escrito para te uno de los poemas del Cantar de los Cantares: ""Ven del Líbano Esposa""."	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_224_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	San Francisco y Santo Domingo				m02_s03_225_p	San Francisco y Santo Domingo	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	168	117	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo,            Escuela cusqueña	No aplica	La pintura de estilo barroco mestizo de la Escuela cusqueña, donde destaca el claro oscuro y los adornos dorados; nos presenta  las imágenes de San Francisco de Asís y Santo Domingo, quienes se encuentran estrechándose en un abrazo fraterno. Sobre la cabeza de ambos santos se vislumbra un brillo dorado que representaría la luz de Espíritu Santo que viene del cielo en forma de rayos dorados; a ambos lados del Espíritu Santo se encuentra la imagen de Dios Padre y Dios Hijo. Adorna la escena un fondo paisajista.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_225_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	Virgen con San Francisco y Santa Catalina				m02_s03_226_x	Virgen con San Francisco y Santa Catalina	Anónimo		No asignado	Evangelizar  visualmente	Museo  Convento La Recoleta	168	117	No registra	No registra	No registra	Mal estado de conservación	Oleo sobre lienzo	No aplica	"La pintura presenta un diseño armonioso y equilibrado, ilusionismo practicado y retórica eclesiástica. En la parte superior, La Virgen con la mirada hacia el frente sostiene al Niño Jesús sentado en su brazo, quien mira y se apoya en su madre con el brazo derecho y con el otro sostiene un libro. Más abajo la escena reúne a los santos San Francisco de Asís y Santa Clara.  A la izquierda se muestra a San Francisco con las manos cruzadas en señal de abrazo y humildad, vistiendo su traje de clero.  Frente a èl se encuentra la imagen de Santa Clara, sentada y señalando con la mano derecha la imagen de la Virgen. En medio de los dos resalta un monograma que reza ""AVEM RIA""  que se traduciría como ""Ave María"", que designaría a la Virgen María como su protectora y guìa.  Este sería un  acto de mediación entre la Virgen celestial y el plano terrenal del espectador.."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Pinacoteca	"Sala 3 ""Pinacoteca"""					m02_s03_226_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
																																														
																																														
	SALA 4 AMAZONÍA					SALA 4 AMAZONÍA																																								
																																														
	Vitrina 1 : Aves costeras	Vitrina 1			m02_s04_227_x	Vitrina 1 : Aves disecadas costeras	Desconocido		No asignado	Medio de información cultural sobre las ciencias naturales - zoologia.	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Buen estado de conservación	No aplica	No aplica	"1. Pato (de la familia del Anatidae (lugar: Tingo María) (Pato con plumas color café y blanco, tamaño mediano)
 2. Cucacunca  - Guacharaca moteada o chachalaca moteada (Ortalis Guttata) (Lugar: Tingo María) (ave galliforme, cabeza gris clara, frente blancuzca,  de color pardo grisàceo en el dorso y castaño moteado de blanco en el pecho y cuello y con la parte inferior del vientre de color blanco)
 3. Jerga (Ans georgica) (pato maicero, de la especie de ave anceriforme,  con cola larga y aguda, cuello largo,  con plumaje color negro, cafè, blanco y gris; cabeza color blanco)
 4. Garza azul (Florida Egretta caerulea)   (Ave con plumaje color  pizarra azulado, cuelo largo negro, patas delgadas y lagars, tamaño mediano) (pato de atrás primer piso) 
 5. Garza chica o garcita blanca (Leucophoyx  thula) (ave con plumaje  blanco, cuello largo y pico negro, patas delgadas y  alargadas, tamaño mediano) (adelante primer piso izq.)
 6. Parihuana (Phoenicoparrus andinus) (O flamenco Andino, tiene un tamaño de 1 a 1.30 m, su envergadura alar está entre 1 y 1.6 m.; el color general del plumaje es blancuzco con color rosado fuerte y la parte de la cola se encuentra cubierta de plumas negras, su pico es en gran parte negro con presencia de coloraciòn amarilla en la base, con patas amarillas)
 7. Carrao (Aramus Guarauna) (Familia: Aramidae)  (Ave gruiformes, tiene un largo total de 66 cm, la envergadura alar es de 100 cm; el plumaje es bronceado con cabeza y cuello grisàceo, tiene patas largas y pico amarillento largo y apenas curvo) (propia de zonas húmedas y pantanos con árboles)
 8. Gallito de laguna (Jacana Jacana) (ave que mide de 22 a 25 cm.  Sus patas son largas con dedos también largos, ambos de color verdoso. Su cabeza, cuello y partes inferiores son negros. Presenta el centro de la espalda y gran parte del ala cerrada de color castaño marrón. Sus plumas de vuelo son de color amarillo verdoso pálido con puntas cafés oscuras a negras. Los bordes de las primarias más externas también son negras, al igual que las cobertoras primarias)
 9. Garza blanca chica (Leucophoyx thula) (ave con plumaje  blanco, cuello largo y pico negro, patas delgadas y  alargadas, tamaño mediano) 
 10. Garza tigre (Lugar: Tingo María)
 11. Guanchaquito (Ramphocelus)  (ave pequeña con plumaje color blanco y marròn) (Pajarito que está delante de la garza grande tigre)
 12. Alcarabancito (Hoploxypterus cayanus) (ave pequeña con plumaje jaspeado color gris, marrón, negro y blanco, vientre negro) (pajarito que está de espaldas delante de la garza tigre)
 13. Camanguí (Anhima comuta) (Ave de gran tamaño, con plumaje negro en la espalda y de color blanco, gris y negro en el pecho, cuello color negro, patas largas) (pajarito negro grande)
 14. Paujil (Crax globulosa) (Familia: Cracidae) (ave galliforme, con plumaje color negro y plumas blancas en el borde de la cola) (Procede de las selvas de Perú)"	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Amazonía	"Sala 4 ""Amazonía"""					m02_s04_227_x	c_13/01_02	Animales vertebrados disecados	Aves 	
	Vitrina 2 : Aves nocturnas y pictóricas	Vitrina 2			m02_s04_228_x	Vitrina 2 : Aves nocturnas y pictóricas disecadas	Desconocido		No asignado	Medio de información cultural sobre las ciencias naturales - zoologia.	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Buen estado de conservación	No aplica	No aplica	"1.  Momotido (Momotidae) (Familia: Coraciformes)(conocido comunmente como momotos o barranqueros) (Pájaro de tamaño mediano. Estas aves tienen el plumaje blando y la cola larga, que mueven de lado a lado.  La cola del macho es más larga que la de la hembra. El plumaje, similar en ambos sexos, presenta colores muy hermosos, destacando el amarillo, naranja, verde y azul.
El pico, fuerte y acabado en gancho, tiene el borde dentado, esto les permite sujetar los insectos que tienen un exoesqueleto duro y resbaladizo.
 2.  Mielero verde (al costado de la rama 5 pajaritos) (Chlorophanes Spiza). Mide 14 cm de largo.  Es un ave de pico largo, fuerte y curvado, con la mandíbula inferior amarilla y la superior oscura.  La cola relativamente corta y las patas grises. 
 3.  Gavilán Plomizo (Cryptoleucopterix plumbea) (Familia: Accipitridae) (Otro nombre: gavilán pizarra)  (Ave de la especie de ave de rapiña, con plumaje coor plomizo, de cola mediana con franja blanca, la parte baja del vientre tiene plumaje blanco con plomo, el pico es en su base de color amarilla y la punta negra) (en otra rama uno solo grande con las alas abiertas)
 4.  Halcón tijereta (delante del gavilán plomiso ) (Elanoides forficatus) (Familia: Accipitridae) (Mide entre 55 y 65 cm de longitud; el macho y la hembra son similares: el plumaje es blanco y negro; se caracteriza por la cola ahorquillada)
 5.  Gavilán Tejé  ( Bufeo alvicandatus) (Familia: Accipitridae) (Ave rapaz, con plumaje llamativo, las alas largas y puntiagudas pero anchas en la base, lo que hace que la cola se vea relativamente corta, plumaje color plomizo en la cabeza y plomizo y blanco en el cuerpo y las alas)
 6.  Pájaro Versicolored barbert (Eubucco versicolor) (ave de tamaño pequeño, mide alrededor de 16 cm, con colores rojo en la cabecita, amarillo en la parte superior del pecho  con franja roja en la parte inferior y plumaje azulado en la espalda; su pico es robusto y relativamente largo y amarillento)  (delante del gavilán pajarito pequeño de cabecita rojo y rayita celeste) 
 7. Copeicillo violáceo(al costado atrás) ( Cyanerpes Caeruleus) (Familia: Thraupidae) (es un ave muy pequeña de color violáceo un tanto azulado, con pico encorvado cuentra en la zona tropical de sud América)
 8.  Gavilán habano (Chondrohierax wilsoni)  (Familia: Accipitridae endémica de Cuba) (delante)
 9. Dos  Gallitos de las rocas (en quechua : Tunki)  (Rupicola peruvianus)  (Familia: Cotingidae) (natural de Perú) (Aves muy cotizadas ya que alcanzan un costo hasta 7000 dolares en el mercado ilegal. El macho posee un plumaje muy colorido en combinación de naranja y negro, las hembras con plumaje en tono marrón) (al costado 2 loritos naranjas)
 10. Guacamayo (Ara macao) (Familia: Psitácidos) (abajo izquierda debajo del halcón tijereta)
 11. Conoto negro (Psarocolius decumanus)
 12. Loro samiro  Al costado y atrás) (Aratinga leucophthalmus)
 13. Ave sin nombre
 14. Tigüi tigüe grande ( Al costado hay un pajarito ) (Tringa melanoleuca)
 15.  Pájaro relojero (delante otro de cabeza azul (Momotus momota) (Lugar: Tingo María)
 16.  Cotorra  cabeza azul ( Al costo detrás otro lorito) (Pionus menstruus)
 17.  Chupacacao negro (Daptrius ater) (delante pájaro cola blanca con negra) 
 18. Broadbill - motmot (Momotidae Momotas) (al costado 2 en una rama,, 1 color cabeza café cuerpo negro)
 19. Perico (Melopsittacus undultus) (Familia: Psittacide) (al costado lorito verde)
 20. Spectacled parrolet (Forpus conspicillatus)  (delante 2 loritos pequeñitos)
 21.  Pericos (Melopsittacus undultus) (Familia: Psittacide) (al costado y atrás 2 loritos)
 22. Tangara  (delante 1 solo lorito) (Tangara cianicollis) (Familia: Thraupidae) (natural de Perú)"	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Amazonía	"Sala 4 ""Amazonía"""					m02_s04_228_x	c_13/01_02	Animales vertebrados disecados	Aves 	
	Vitrina 3:  Clases de nidos de diversas aves	Vitrina 3			m02_s04_229_x	Vitrina 3:  Clases de nidos de diversas aves disecadas	Desconocido		No asignado	Medio de información cultural sobre las ciencias naturales - zoologia.	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Buen estado de conservación	No aplica	No aplica	"1. Picaflor (Familia: Trochilidae) Son unas minúsculas aves americanas que se caracterizan por el colorido de su plumaje, su forma de volar y por los hábitos peculiares de alimentación que poseen. Emiten un zumbido con las alas, que mueven con mayor rapidez que las de cualquier otra ave, hasta el extremo de que no se distinguen cuando vuelan.Lugar: Arequipa
 2. Colibrí pecho canela ( Glaucis hirsuta) (Familia: Thraupidae) animal de pequeño tamaño tiene características particulares diferente a otras especies de colibríes, de tamaño mediano de unos 9,5 cm; su plumaje es de color bronce con ciertas tonalidades verdosas, la cola es cuadrada y de color rojiza con toques dorados y verdes. pico largo, delgado y un poco curvado, una lengua bastante larga, siendo incluso el doble de largo que el pico.
 3. Cucarachero (Troglodytes A.) (Familia: Thraupidae) pájaro pequeño, rechoncho y de cola estrecha. Mide aproximadamente 10 cm. Tanto el macho como la hembra tienen el plumaje de las partes superiores de color pardo, con listado negro en las alas y las cola. Sus partes inferiores son de tonos marrones más claros, haciéndose más claros hacia el vientre. Los ejemplares jóvenes son más oscuros que los adultos.
 4. Curruñata azulejo (Euphonia xanthogaster) (Familia: Thraupidae) Mide 10,54​ a 10,9 cm de longitud. El plumaje del dorso del macho es color azul metálico; mejillas, garganta y cuello negro azulado; corona, frente, pecho y vientre amarillo fuerte; la corona y la frente pueden ser rojizas. La hembra presenta nuca y corona grisácea y partes inferiores de color ante, blancuzco o crema grisáceo y dorso oliváceo.​
 5. Paucar(Cacicus cela) (Familia : Icteridae) (Ave típica de las zonas tropicales de México,  Perú, Brasil y Bolivia.  Puede llegar a medir hasta 28 cm de largo.  Posee un plumaje negro en el vientre y en las alas, mientras que en su larga cola las plumas son amarillas. Tiene ojos azules.  
 6. Tordo (Molothrus bonariensis) (Familia : Icteridae)  (Ave que llega a medir 20 cm de largo; su plumaje es marrón oscuro, más pálido en la zona inferior, con un pico largo y puntiagudo y patas largas y delgadas. )
 7. Capeicillo violáceo (Cyanerpes carruleus) (Familia: Thraupidae) (es un ave muy pequeña de color violáceo un tanto azulado, con pico encorvado cuentra en la zona tropical de sud América)
 8. Violinista (Thraupis episcopus) (Familia: Thraupidae)  (mide 18 cm de longitud y pesa 35 g. Los adultos tienen la cabeza y las partes inferiores del cuerpo color gris azulado claro, las partes dorsales son azules oscuras, con verde azul brillante en las alas y la cola, y los hombros con diferentes matices de azul. El pico es corto y grueso. Los dos sexos son similares, pero los inmaduros son de plumaje de color más deslavado)
 9. Capitán turero (Capito niger) (Familia : Capitonidae) (Ave pequeña con plumaje  en el cuerpo de color negro, plomizo y blanco, y en la zona de la cabeza y garganta color rojo-naranja)
 10. Picaflor (Trochilidae) (Familia: Trochilidae) (Lugar: Arequipa) (Ave que cuenta con más de 300 especies.​ Son unas minúsculas aves americanas que se caracterizan por el colorido de su plumaje, tienen picos largos, finos y rectos; su forma de volar y por los hábitos peculiares de alimentación que poseen. Emiten un zumbido con las alas, que mueven con mayor rapidez que las de cualquier otra ave, hasta el extremo de que no se distinguen cuando vuelan. Entre sus integrantes se encuentran algunas aves, las más pequeñas del mundo)
 11. Huanchaquito (Ramphocelus nigrogularis) (Familia: Thraupidae) (Ave que mide 18 a 19 cm de longitud. El macho adulto tiene un rostro negro; las alas, el dorso, el vientre y la cola son de color rojo brillante en otras partes de su plumaje. El pico es plateado brillante.​ La hembra se parece al macho, pero tiene el vientre marrón y el plumaje más apagado,​ mientras que los ejemplares juveniles is tienen una coloración más opaca)"	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Amazonía	"Sala 4 ""Amazonía"""					m02_s04_229_x	c_13/01_02	Animales vertebrados disecados	Aves 	
