DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Fiestas Patrias	7	p		m01_s07_221	Fiestas Patrias	Núñez Ureta, Alejandro	396439000344 (307)	Ilustrar y registrar gráficamente un paisaje semi-rural. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	70 cm	82 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Primer premio del concurso municipal de 1958. Sobre la obra:  En la pintura se observan  casas con techos de paja, cada una posee una bandera del Perú (flameando), detrás de las casas del lado izquierdo se encuentran arboles (posiblemente palmeras), en el fondo de la pintura sobresale la presencia de volcanes	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mediados del Siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_221	c_11/02_14	Pinturas de arte fino	Pintura, oleo, que merecieron reconocimiento; paisajes semirural (pueblos dePerú); artistas peruanos, arequipeños.			
Pablito	7	p		m01_s07_222	Pablito	Núñez Ureta, Teodoro 	396439000353 (298)	Homenaje pictórico familiar	Museo Histórico Municipal de Arequipa	75.5 cm	60 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Carboncillo	Sobre la obra: En el dibujo se observa la imagen de un niño sentado agarrando sus manos, vistiendo camisa y pantalón, la imagen presenta fondo blanco. Sobre el artista Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mediados del Siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_222	c_11/01_27	Pinturas de arte fino	Dibujo;  retrato artístico - Perú; artistas peruanos, arequipeños.			
Mis Padres	7	p		m01_s07_223	Mis Padres	Núñez Ureta, Teodoro 	No asignado	Homenaje pictórico familiar	Museo Histórico Municipal de Arequipa	65 cm	74 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra : En la pintura se observa a un hombre de cabello blanco, vistiendo una camisa blanca y corbata de colores azul y rojo a rayas; a su derecha se encuentra una mujer de cabellos blancos que viste una blusa color azul marino, la pintura cuenta con fondo de color celeste y blanco. Sobre el artista: Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mediados del Siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_223	c_11/02_10	Pinturas de arte fino	Oleos Pinturas; retratos artísticos - Perú; artistas peruanos, arequipeños.			
Dama	7	p		m01_s07_224	Dama	Núñez Ureta, Teodoro 	396439000312 (217)	Ilustrar y registrar gráficamente un el rostro de una mujer. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	90 cm	65 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra : En la pintura se observa una mujer (plano medio corto) con el rostro (cabello castaño, corto, ondulado y sujetado por una vincha) y cuerpo volteado a la izquierda, viste una caminsa (cuello negro y camisa gris). Sobre el artista: Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Probablemente a finales del siglo XX	p_04_05	Contemporáneo	Finales del siglo XX	Finales del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donacion	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_224	c_11/02_46	Pinturas de arte fino	Trabajo sobre papel (acuarela); retratos artísticos de vanidad - Perú; artistas peruanos, arequipeños.			
Quijote y Sancho Panza	7	p		m01_s07_225	Quijote y Sancho Panza	Núñez Ureta, Teodoro 	396439000357 (302)	Ilustración de personajes de la literatura. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	96 cm	76 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Pluma sobre papel	Sobre la obra: En la obra se observa la imagen de un hombre alto y delgado parado sosteniendo una espada y atrás suyo un hombre de estatura pequeña y de apariencia obesa llevando un bolso, la imagen presenta fondo blanco.  Sobre el artista : Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mdiados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_225	c_11/01_37_05	Pinturas de arte fino	Dibujos con pluma y tinta, imágenes de la historia literaria			
Picantería	7	p		m01_s07_226	Picantería	Núñez Ureta, Teodoro 	3964390000361 (303)	Ilustrar y registrar gráficamente costumbres regionales. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	59.9	85.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra: En la pintura se observa una mujer parada al lado de una cocina de piedra (una olla esta cocinándose), dos mujeres en una cocinando de detrás de ellas hay cinco chombas grandes, al lado de ellas están siete  personas sentadas en una mesa comiendo. Sobre el artista: Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupó el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mdiados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_226	c_11/02_11_01	Pinturas de arte fino	Oleos de imágenes de  género costumbrista			
Las Beatas	7	p		m01_s07_227	Las Beatas	Núñez Ureta, Teodoro 	396439000241 (308)	Ilustrar y registrar gráficamente costumbres regionales. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	71.5 cm	61.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra: En la pintura se observa mujeres (siete)  de pie, al lado izquierdo dos mujeres tienen antorchas con fuego en sus manos, al lado derecho solo una mujer tiene una antorcha. Sobre el artista: Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mdiados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_227	c_11/02_11_01	Pinturas de arte fino	Oleos de imágenes de  género costumbrista			
Entierro en Sachaca	7	p		m01_s07_228	Entierro en Sachaca	Núñez Ureta, Teodoro 	3964390000284	Ilustrar y registrar gráficamente costumbres regionales. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	64 cm	81 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra: En la pintura se observa una multitud de personas caminando sobre un puente, las que se encuentran en el interior llevan en sus hombres un palanquín, dirigiendo la procesión estas tres personas que llevan consigo tres grandes varas (la del medio es la más grande), de fondo se observa pastizales y destacan pequeñas casas. Sobre el artista: Teodoro Núñez Ureta fue uno de los más renombrados artistas plásticos del Perú.  Nacido en Arequipa el año de 1912; autodidacta, cuyos obras fueron plasmadas en acuarelas, óleos, murales y acrílicos. Sus obras han sido expuestas en importantes salas e instituciones del Perú. Ganador de premios internacionales.  Ocupò el cargo de Director de la Escuela de Bellas Artes de Lima.	Alrededor de la segunda mitad del siglo XX	p_04_05	Contemporáneo	Mediados del siglo XX	Mdiados del siglo XX	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	Desconocida	Ninguna	"""Pinacoteca"""	"Sala 7 ""Pinacoteca"""			m01_s07_228	c_11/02_11_01	Pinturas de arte fino	Oleos de imágenes de  género costumbrista			
																																													
SALA 8																																													
JORGE VINATEA Reinoso																																													
																																													
Cuadros : pinturas y caricaturas de Jorge Vinatea Reinoso																																													
																																													
Jorge Vinatea Reinoso	8			m01_s08_229	Jorge Vinatea Reinoso	Vinatea Reinoso, Jorge	No asignado	Autoretrato. 	Museo Histórico Municipal de Arequipa	23 cm	20 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre el personaje: Jorge Segundo Vinatea Reinoso Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Probablemente a inicios del siglo XX	p_04_03	Republicano	Desconocida	Desconocida	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocida	Ninguna	Desconocida	Inicios del Siglo XXI		"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_229	c_11/02_08	Pinturas de arte fino	Oleos de retratos de personajes célebres			
Picantería arequipeña	8			m01_s08_230	Picantería arequipeña	Vinatea Reinoso, Jorge	No asignado	Ilustrar y registrar gráficamente costumbres regionales. Participación en concurso de pintura.	Museo Histórico Municipal de Arequipa	76 cm	73 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra: Se  observa una casa de sillar con techo de paja,  en los costados de la casa están ubicados dos palos que sostiene el  techo,  su interior se encuentran tres hombres sentados comiendo alrededor de una mesa de color café oscuro, otro hombre de pie frente a la mesa vistiendo pantalón plomo, poncho rojo con líneas amarillas y un sombrero color crema; por detrás de la casa se encuentran tres arboles y campos verdes. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Probablemente a inicios del siglo XX	p_04_03	Republicano	Desconocida	Desconocida	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocida	Ninguna	Desconocida	Inicios del Siglo XXI		"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_230	c_11/02_11_01	Pinturas de arte fino	Oleos de imágenes de  género costumbrista			
																																													
CARICATURAS JORGE VINATEA Reinoso																																													
PARED MANO IZQUIERDA																																													
LADO IZQUIERDO PARED FONDO = LIF																																													
LADO DERECHO PARED FONDO LDF																																													
PARED MANO DERECHA																																													
Tres personas: Cónsul de Chile Mojica, David H. Molina y Sr. Llosa	8	izq		m01_s08_231	Cónsul de Chile Mojica, David H. Molina y señor Llosa	Vinatea Reinoso, Jorge	396439000203	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se aprecia a tres hombres de edad avanzada,  de perfil, nariz de gran tamaño y ojos pequeños; el primero de ellos delgado y alto, inclinado ligeramente hacia adelante, el cabello de color azul, saco y pantalón de color celeste, camisa blanca corbata en forma de rosón de color amarillos claro zapatos de color guinda y un sombreo crema con cinta de color azul, sosteniendo un bastón delgado de color café oscuro en la mano derecha y la izquierda en el bolsillo del pantalón; el segundo más bajo que los otros dos hombres, el cabellos es de color plomo claro y bigote blanco con las manos a la altura del estómago, pantalón de color azul, saco negro, camisa blanca, corbata en forma de rosón d color negro y zapatos y sombrero de color negro; el tercero de ellos alto y delgado inclinado hacia adelante con las manos hacia atrás, el cabello es de color café, saco y pantalón de color café claro, camisa blanca, corbata de color café en forma de rosón, zapatos cafés y sombrero crema con cinta de color celeste. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Republicano	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_231	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Tres personasajes: Vinelli, Gustavo Jara y Santisteban	8	izq		m01_s08_232	Vinelli, Gustavo Jara y Santisteban	Vinatea Reinoso, Jorge	396439000185	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se aprecia a tres hombres, dos de ellos de mediana edad y uno de edad avanzada,  con cabezas de gran tamaño y ojos pequeños; el primero de ellos obeso y de perfil de cabello y bigotes de color negro, usando un pantalón negro, saco de color azul, zapatos negros y un pequeño sombrero crema con una cinta de color negro alrededor; el segundo de ellos  delgado y de perfil de cabello negro y corto con barba larga de color negro, usando un pantalón. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_232	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Zegarra Ballón, M. Fernández	8	izq		m01_s08_233	Zegarra Ballón y M. Fernández	Vinatea Reinoso, Jorge	396439000184	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra : En la pintura se observa a dos hombres de edad avanzada con la cabeza de gran tamaño y ojos pequeños, uno frente del otro; el primero de ellos  ligeramente obeso, inclinado ligeramente hacia adelante de cabello y barba de color negro, usa  gafas de forma circulas, vistiendo saco y pantalón de color negro, camisa blanca, corbata roja y zapatos y sombrero de color negro, en el brazo izquierdo sostiene un bastón de color café, el segundo de ellos delgado  de cabello y barba blanca, inclinado ligeramente hacia adelante, vistiendo saco largo y pantalón de color azul, camisa blanca, corbata roja, sombrero de color plomo oscuro y zapatos  negros, en la mano derecha sostiene un bastón de color negro con mango blanco. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_233	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Prefecto Cnel. Bedoya y R. Becerra T.	8	izq		m01_s08_234	Prefecto Coronel Bedoya y R. Becerra T.	Vinatea Reinoso, Jorge	396439000192	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa a dos hombres de edad avanzada con cabezas y ojos pequeños; el primero de ellos de perfil de ligeramente obeso con cabello y barba blanca, vistiendo saco de color negro con cintas de color plomo claro a la altura de las mangas y cuello del saco, pantalón de color negro con franjas de color plomo claro en los costados del pantalón, sombreo de color negro con una cinta de color plomo claro y zapatos de color negro, en la mano izquierda sostiene un pequeño sable de color plata; el segundo de ellos de frente delgado, con bigote de color negro, usa gafas de forma circulas, esta vistiendo un saco de color café oscuro, chaleco de color crema camisa blanca y corbata delgada de color negro, pantalón de color azul, sombreo de color crema con cinta de color café y zapatos de color negros. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_234	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Ramírez del Villar	8	izq		m01_s08_235	Ramírez del Villar	Vinatea Reinoso, Jorge	396439000200	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra : En la pintura se observa un hombre de perfil, de edad avanzada, la cabeza y nariz de gran tamaño y ojos pequeños, cabello, barba y bigote de color negro, ligeramente inclinado hacia adelante,  la pierna derecha delante de la izquierda como si quisiera caminar, vistiendo saco de color azul, pantalón azul con rajas blancas, camisa blanca, corbata roja, zapatos y sombrero de color negro, sosteniendo en la mano derecha un delgado bastón de color azul con mango de color café. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_235	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Dámaso, Gómez, Antero Vargas Taylor	8	izq		m01_s08_236	Dámaso Gómez y Antero Vargas Taylor	Vinatea Reinoso, Jorge	396439000190	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observa a dos hombres uno de frente y otro de perfil, de mediana edad, con cabezas de gran tamaño y ojos pequeños; el primero de ellos de estatura baja, cabello y bigote de color negro, vistiendo  saco, chaleco, pantalón, corbata y zapatos de color negro, camisa blanca, piernas separadas y los brazos a la altura de las piernas; el segundo de ellos de perfil, ligeramente obeso, con cabello blanco, saco, pantalón y sombrero de color rojo, zapatos de color café claro, con la mano derecha sostiene un cigarro el cual esta fumando, en  el brazo izquierdo sostiene un  sombrilla de olor negro y la pierna  derecha delante de la pierna izquierda. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_236	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Darío Eguren Larrea,  Hernández	8	izq		m01_s08_237	Darío Eguren, Larrea y N.  Hernández	Vinatea Reinoso, Jorge	396439000203	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se aprecia a tres hombres de mediana edad, con los ojos pequeños y  de perfil; el primero de ellos delgada algo inclinado usando saco y pantalón azul, camisa blanca, corbata roja, zapatos negro y un sombrero blanco con una cinta de color café, sosteniendo un bastón café claro en la mano derechas; el segundo de ellos alto y delgado de cabello negro corto con las manos hacia atrás, usando saco y pantalón de color azul claro, camisa blanca, corbata. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_237	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
Modesto Málaga, Abel Campos	8	izq		m01_s08_238	Modesto Málaga y Abel Campos	Vinatea Reinoso, Jorge	394639000191	Satirización de personajes públicos  y destacados, que formaban parte de la sociedad arequipeña a inicios del siglo XX	Museo Histórico Municipal de Arequipa	16 cm	24.5 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se aprecia a dos hombres de edad avanzada uno frente del otro, con cabezas de gran tamaño y ojos pequeños; el primero de ellos obeso, con cabello negro, saco y pantalón de color verde claro, zapatos negros, sombrero de color crema con una cinta de color negro, en la mano derecha sostiene un bastón delgado y guantes color azul; el segundo de ellos obeso con la cabeza inclinada hacia adelante, la nariz resalta llamativamente del rostro, el cabello es de color blanco, está usando un pantalón de color azul, saco de color verde oscuro, chaleco amarillo, camisa blanca, corbata roja, zapatos y sombreo color café, las manos a los costados. Sobre el artista: Pintor peruano nacido, en Arequipa el 13 de Abril de 1900 y fallecido en el distrito de Cayma, también en Arequipa, el 15 de Julio de 1931. Estudió en la Escuela de Bellas Artes. Ya a los 18 años, destacaba en el género de caricaturas no solo por la originalidad de sus trabajos, sino por la variedad que manifestaba dentro de su técnica. Murió a los 31 años de edad.	Alrededor de 1920	p_04_03	Inicios de siglo XX	Alrededor de 1920	Alrededor de 1920	Ninguna	Ninguna	Ninguna	Ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Pinturas y caricaturas de Jorge Vinatea Reinoso"""	"Sala 8 ""Jorge Vinatea Reinoso"""			m01_s08_238	c_11/02_53_02	Pinturas de arte fino	Acuarelas de Caricaturas de personajes célebres			
